"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""",19,0,19
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","*",0,"*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""",27,0,27
"Stratford School District","=""1380011""","Lordship School","=""1380811""",2244,108,2352
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""",10,0,10
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","*","*",16
"Stratford School District","=""1380011""","Nichols School","=""1380911""",4067,201,4268
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",5986,844,6830
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","*","*",47
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""",7,0,7
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",522,31,553
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",4813,150,4963
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",9625,394,10019
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","*","*",153
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",3520,272,3792
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",4896,64,4960
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",5258,27,5285
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","*","*",8408
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",5921,7,5928
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",2686,34,2720
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",4623,142,4765
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",3162,23,3185
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",2488,7,2495
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",4760,19,4779
"Thompson School District","=""1410011""","District Autism Program","=""1410211""","*",0,"*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",4648,22,4670
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",3960,9,3969
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","*","*",3220
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",6110,79,6189
"Tolland School District","=""1420011""","TALC","=""1420311""",33,0,33
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",8753,9,8762
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",6296,40,6336
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",7329,24,7353
"Torrington School District","=""1430011""","East School","=""1430111""",4020,99,4119
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""",6,0,6
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""","*",0,"*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",90,0,90
"Torrington School District","=""1430011""","Forbes School","=""1430211""",3290,545,3835
"Torrington School District","=""1430011""","Hilltop Outreach","=""1432311""",11,0,11
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",20,0,20
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""",56,0,56
"Torrington School District","=""1430011""","PreK","=""1432211""",90,0,90
"Torrington School District","=""1430011""","Southwest School","=""1430811""",2852,340,3192
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""","*",0,"*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""",11,0,11
"Torrington School District","=""1430011""","Torringford School","=""1430911""",5882,498,6380
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""",20,0,20
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",10439,493,10932
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",10409,416,10825
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",3699,901,4600
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""",7,0,7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","*","*",1500
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",4903,142,5045
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",4717,106,4823
"Trumbull School District","=""1440011""","Educating Learners in Transitional Environments (ELITE)","=""1440611""",9,0,9
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",5850,278,6128
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",7517,40,7557
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",3942,91,4033
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",8357,52,8409
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",4481,278,4759
"Trumbull School District","=""1440011""","REACH","=""1440511""",26,0,26
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",4047,52,4099
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""",15,0,15
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",2215,31,2246
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",21237,140,21377
"Unified School District #1","=""3360015""","Bergin Correctional Institution","=""3361715""",128,0,128
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",139,0,139
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",41,0,41
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""",234,0,234
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",339,0,339
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",118,0,118
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",184,0,184
"Unified School District #1","=""3360015""","Gates Correctional Institution","=""3360515""",96,0,96
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",374,0,374
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",429,0,429
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",3823,0,3823
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",136,0,136
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",159,0,159
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",189,0,189
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",189,0,189
"Unified School District #1","=""3360015""","Webster Correctional Institution","=""3361415""",35,0,35
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",137,0,137
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",356,0,356
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","*","*",290
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","*","*",290
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",67,0,67
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",595,6,601
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","*",0,"*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","*","*",902
"Union School District","=""1450011""","Union Elementary School","=""1450111""",759,0,759
"Vernon School District","=""1460011""","Northeast School","=""1460311""",3036,12,3048
"Vernon School District","=""1460011""","Center Road School","=""1461411""",4642,239,4881
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",2657,11,2668
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",28,0,28
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","*","*",3079
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","*","*",103
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",9839,198,10037
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",3127,218,3345
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""",8,0,8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",7184,144,7328
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",3052,0,3052
"Wallingford School District","=""1480011""","Highland School","=""1480211""",2987,129,3116
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",147,0,147
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",3457,330,3787
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""",6907,214,7121
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",6907,214,7121
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",55,0,55
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",3411,352,3763
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""",47,0,47
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",7395,156,7551
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",10908,300,11208
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",9081,73,9154
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",3073,357,3430
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",67,0,67
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",2782,376,3158
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",3125,213,3338
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",3284,148,3432
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",3982,116,4098
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",717,109,826
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",9416,1576,10992
"Waterbury School District","=""1510011""","Washington School","=""1512311""",2735,526,3261
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",5167,483,5650
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*",28
"Waterbury School District","=""1510011""","Barnard School","=""1510311""",962,89,1051
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",0,152,152
"Waterbury School District","=""1510011""","Bucks Hill CBL","=""1514611""",9,0,9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",4414,984,5398
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""","*","*",37
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",4555,475,5030
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","*","*",23
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",3790,1092,4882
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",0,104,104
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""",6,0,6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",11596,1671,13267
"Waterbury School District","=""1510011""","Crosby NVCC","=""1514011""","*","*",15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",4910,487,5397
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""",8,0,8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",2458,247,2705
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",1516,205,1721
"Waterbury School District","=""1510011""","Excel II","=""1513811""","*",0,"*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*",6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",4587,436,5023
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",3578,347,3925
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",5939,1738,7677
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",0,95,95
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",3108,1371,4479
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",11716,1555,13271
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",5842,142,5984
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",56,0,56
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""","*","*",55
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",5104,655,5759
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""",26,0,26
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",11074,1435,12509
"Waterbury School District","=""1510011""","North End ESC","=""1511811""",10,0,10
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",9854,1408,11262
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",38,0,38
"Waterbury School District","=""1510011""","Reed School","=""1513411""",1797,237,2034
"Waterbury School District","=""1510011""","Regan School","=""1512811""",2601,186,2787
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",6053,86,6139
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""","*","*",2111
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",3924,520,4444
"Waterbury School District","=""1510011""","State Street School","=""1519011""",627,133,760
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",4211,664,4875
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",4747,66,4813
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",3205,58,3263
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",2187,85,2272
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",3286,292,3578
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""",15,0,15
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",10706,1606,12312
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*",32
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",3755,438,4193
"Waterford School District","=""1520011""","Autism Class","=""1521111""",6,0,6
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""",14,0,14
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",6686,78,6764
"Waterford School District","=""1520011""","Cohanzie Elementary School","=""1520111""",381,6,387
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",2617,44,2661
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",3554,70,3624
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",3250,70,3320
"Waterford School District","=""1520011""","Southwest Elementary School","=""1520511""",1121,9,1130
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",8887,90,8977
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","*",0,"*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",3172,66,3238
"Watertown School District","=""1530011""","Heminway Park School","=""1530611""","*","*",272
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",6623,342,6965
"Watertown School District","=""1530011""","Polk School","=""1530411""",3413,127,3540
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",7198,92,7290
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",9208,75,9283
"Watertown School District","=""1530011""","Watertown Transition Academy","=""1530811""","*",0,"*"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",2941,712,3653
"West Hartford School District","=""1550011""","Achieve","=""1559111""","*","*",69
"West Hartford School District","=""1550011""","REACH","=""1557311""","*","*",107
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",4111,358,4469
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*","*",16
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",3784,228,4012
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",4097,96,4193
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",4149,115,4264
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",2822,545,3367
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",14579,448,15027
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",5127,199,5326
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",14737,383,15120
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",8774,346,9120
"West Hartford School District","=""1550011""","Morley School","=""1550911""",3276,150,3426
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","*","*",21
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",3758,208,3966
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""",160,13,173
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",8379,412,8791
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",160,13,173
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","*","*",105
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",3948,548,4496
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","*","*",25
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",4569,412,4981
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","*","*",30
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",4414,465,4879
"West Haven School District","=""1560011""","Washington School","=""1561211""",3777,720,4497
"West Haven School District","=""1560011""","Life Skills","=""1560111""","*","*",24
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*","*",16
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",3285,304,3589
"West Haven School District","=""1560011""","Anna V. Molloy School","=""1561311""",685,125,810
"West Haven School District","=""1560011""","Blended","=""1560711""",33,0,33
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",29,0,29
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",7747,731,8478
"West Haven School District","=""1560011""","Clarence E. Thompson School","=""1561011""",883,206,1089
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",3203,356,3559
"West Haven School District","=""1560011""","Forest School","=""1560311""",3591,995,4586
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",7948,462,8410
"West Haven School District","=""1560011""","PACE","=""1560211""","*","*",107
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",3797,1048,4845
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",4068,651,4719
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",14775,818,15593
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",2943,223,3166
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",2887,29,2916
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",2698,50,2748
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",4963,90,5053
"Weston School District","=""1570011""","Weston High School","=""1576111""",7925,6,7931
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",5644,29,5673
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",6007,13,6020
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",8432,59,8491
"Westport School District","=""1580011""","CES Segregated","=""1580111""",14,0,14
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",4401,43,4444
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",5093,43,5136
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",4451,86,4537
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""",9,0,9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",4822,70,4892
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""",11,0,11
"Westport School District","=""1580011""","Long Lots School","=""1580711""",5722,108,5830
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",5057,112,5169
"Westport School District","=""1580011""","Staples High School","=""1586111""",18149,81,18230
"Westport School District","=""1580011""","Stepping Stones Preschool","=""1588011""",507,0,507
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",3377,334,3711
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",2737,394,3131
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",4090,320,4410
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",4107,183,4290
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",3745,232,3977
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",5575,206,5781
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",11470,307,11777
"Wethersfield School District","=""1590011""","Wethersfield Transition Academy","=""1590111""","*","*",15
"Willington School District","=""1600011""","Center School","=""1600111""",2237,6,2243
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",2677,14,2691
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",10304,35,10339
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",9970,60,10030
"Wilton School District","=""1610011""","Ina E. Driscoll School","=""1610611""",1507,15,1522
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",7681,88,7769
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",13016,41,13057
"Wilton School District","=""1610011""","Wilton-Westport Evening School","=""1610111""",10,0,10
"Winchester School District","=""1620011""","ABLE","=""1629011""",7,0,7
"Winchester School District","=""1620011""","Batcheller - Bridges 1","=""1629211""","*",0,"*"
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",1959,75,2034
"Winchester School District","=""1620011""","Bridges 2","=""1629111""","*",0,"*"
"Winchester School District","=""1620011""","Joy D. Rice School","=""1626111""",11,0,11
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",2675,98,2773
"Winchester School District","=""1620011""","Pearson Academy","=""1620511""",221,6,227
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",2448,97,2545
"Winchester School District","=""1620011""","WISE Academy","=""1620111""",27,0,27
"Windham School District","=""1630011""","Assisted Work Program","=""1631211""","*","*",9
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",1617,222,1839
"Windham School District","=""1630011""","Early Headstart","=""1638011""",347,0,347
"Windham School District","=""1630011""","Early Headstart-Commerce Dr.","=""1638011""",347,0,347
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","=""1639011""",117,16,133
"Windham School District","=""1630011""","Natchaug School","=""1630111""",2237,811,3048
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","*","*",10
"Windham School District","=""1630011""","North Windham School","=""1630311""",3262,1294,4556
"Windham School District","=""1630011""","Partial Day Program","=""1638411""","*","*",16
"Windham School District","=""1630011""","Sweeney ASD Program","=""1631111""",6,0,6
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*","*",6
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",2123,1055,3178
"Windham School District","=""1630011""","Windham Center School","=""1630511""",1989,942,2931
"Windham School District","=""1630011""","Windham Early Childhood Prospect Street","=""1638311""",2039,0,2039
"Windham School District","=""1630011""","Windham Early Childhood Tuckie Road","=""1631011""",95,0,95
"Windham School District","=""1630011""","Windham High School","=""1636111""",5666,1598,7264
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",6009,1880,7889
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",4004,321,4325
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""",94,0,94
"Windsor Locks School District","=""1650011""","RISE Transition Academy","=""1650211""",22,0,22
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",3666,164,3830
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",5070,105,5175
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",3734,90,3824
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",2620,145,2765
"Windsor School District","=""1640011""","Community Based Transition Academy","=""1640211""",26,0,26
"Windsor School District","=""1640011""","Expulsion","=""1640411""",8,0,8
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",3586,188,3774
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",3913,238,4151
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","*",0,"*"
"Windsor School District","=""1640011""","Poquonock Elementary School","=""1640511""",2701,156,2857
"Windsor School District","=""1640011""","Roger Wolcott Early Child Center","=""1641011""",1151,69,1220
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",7580,201,7781
"Windsor School District","=""1640011""","Spark","=""1640311""","*","*",29
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",12270,188,12458
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""",12,0,12
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",3198,80,3278
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",3400,154,3554
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""",11,0,11
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",6630,41,6671
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",3795,134,3929
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",8460,28,8488
"Woodbridge School District","=""1670011""","Beecher Road Intermediate School","=""1670211""",2149,39,2188
"Woodbridge School District","=""1670011""","Beecher Road Primary School","=""1670111""",1507,39,1546
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",3784,69,3853
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",10858,13,10871
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",4758,37,4795
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",4142,20,4162

