"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","*","*",8
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""",6,6,12
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","*","*",9
"Stratford School District","=""1380011""","ALPHA","=""1380511""",54,64,118
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",5994,5834,11828
"Stratford School District","=""1380011""","Chapel School","=""1380311""",2552,2837,5389
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","*","*",11
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",2686,2787,5473
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","*","*",14
"Stratford School District","=""1380011""","Franklin School","=""1380411""",1596,1565,3161
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",2887,2939,5826
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","*","*",18
"Stratford School District","=""1380011""","High School Sails","=""1380711""",8,20,28
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""",740,641,1381
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""",0,6,6
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","*","*",19
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","*","*","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","*","*",27
"Stratford School District","=""1380011""","Lordship School","=""1380811""",1203,1149,2352
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","*","*",10
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""",6,10,16
"Stratford School District","=""1380011""","Nichols School","=""1380911""",2066,2202,4268
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",3335,3495,6830
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",6,41,47
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","*","*",7
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",281,272,553
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",2484,2479,4963
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",4960,5059,10019
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",52,101,153
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",1774,2018,3792
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",2439,2521,4960
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",2672,2613,5285
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",4399,4009,8408
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",2922,3006,5928
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",1451,1269,2720
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",2195,2570,4765
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",1617,1568,3185
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",1259,1236,2495
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",2305,2474,4779
"Thompson School District","=""1410011""","District Autism Program","=""1410211""",0,"*","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",2221,2449,4670
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",1930,2039,3969
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",1592,1628,3220
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",2968,3221,6189
"Tolland School District","=""1420011""","TALC","=""1420311""",14,19,33
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",4373,4389,8762
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",3087,3249,6336
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",3620,3733,7353
"Torrington School District","=""1430011""","East School","=""1430111""",1967,2152,4119
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""",0,6,6
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""",0,"*","*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",46,44,90
"Torrington School District","=""1430011""","Forbes School","=""1430211""",1773,2062,3835
"Torrington School District","=""1430011""","Hilltop Outreach","=""1432311""","*","*",11
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",6,14,20
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""",15,41,56
"Torrington School District","=""1430011""","PreK","=""1432211""",46,44,90
"Torrington School District","=""1430011""","Southwest School","=""1430811""",1469,1723,3192
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""",0,"*","*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""","*","*",11
"Torrington School District","=""1430011""","Torringford School","=""1430911""",3025,3355,6380
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""",6,14,20
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",5134,5798,10932
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",5127,5698,10825
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",2181,2419,4600
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""",0,7,7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",626,874,1500
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",2518,2527,5045
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",2379,2444,4823
"Trumbull School District","=""1440011""","Educating Learners in Transitional Environments (ELITE)","=""1440611""","*","*",9
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",2922,3206,6128
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",3617,3940,7557
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",1950,2083,4033
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",4165,4244,8409
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",2234,2525,4759
"Trumbull School District","=""1440011""","REACH","=""1440511""",10,16,26
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",1999,2100,4099
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""",6,9,15
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",1006,1240,2246
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",11280,10097,21377
"Unified School District #1","=""3360015""","Bergin Correctional Institution","=""3361715""",0,128,128
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",0,139,139
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",0,41,41
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""",0,234,234
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",0,339,339
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",0,118,118
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",0,184,184
"Unified School District #1","=""3360015""","Gates Correctional Institution","=""3360515""",0,96,96
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",0,374,374
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",0,429,429
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","*","*",3823
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",0,136,136
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",0,159,159
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",0,189,189
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",0,189,189
"Unified School District #1","=""3360015""","Webster Correctional Institution","=""3361415""",0,35,35
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",0,137,137
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","*","*",356
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""",79,211,290
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",79,211,290
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",0,67,67
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",345,256,601
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",11,891,902
"Union School District","=""1450011""","Union Elementary School","=""1450111""",416,343,759
"Vernon School District","=""1460011""","Northeast School","=""1460311""",1471,1577,3048
"Vernon School District","=""1460011""","Center Road School","=""1461411""",2426,2455,4881
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",1215,1453,2668
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","*","*",28
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",1449,1630,3079
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",49,54,103
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",5172,4865,10037
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",1604,1741,3345
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""","*","*",8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",3560,3768,7328
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",1579,1473,3052
"Wallingford School District","=""1480011""","Highland School","=""1480211""",1555,1561,3116
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",40,107,147
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",1840,1947,3787
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""",3631,3490,7121
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",3631,3490,7121
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",26,29,55
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",1813,1950,3763
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*","*",47
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",3802,3749,7551
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",6182,5026,11208
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",4644,4510,9154
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",1712,1718,3430
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",25,42,67
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",1560,1598,3158
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",1624,1714,3338
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",1704,1728,3432
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",2015,2083,4098
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",377,449,826
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",5143,5849,10992
"Waterbury School District","=""1510011""","Washington School","=""1512311""",1657,1604,3261
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",2597,3053,5650
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*",28
"Waterbury School District","=""1510011""","Barnard School","=""1510311""",533,518,1051
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",66,86,152
"Waterbury School District","=""1510011""","Bucks Hill CBL","=""1514611""","*","*",9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",2619,2779,5398
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""","*","*",37
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",2475,2555,5030
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""",16,7,23
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",2419,2463,4882
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",51,53,104
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""",0,6,6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",6283,6984,13267
"Waterbury School District","=""1510011""","Crosby NVCC","=""1514011""","*","*",15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",2565,2832,5397
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","*","*",8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",1327,1378,2705
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",705,1016,1721
"Waterbury School District","=""1510011""","Excel II","=""1513811""",0,"*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*",6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",2473,2550,5023
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",1864,2061,3925
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",3681,3996,7677
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",42,53,95
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",2292,2187,4479
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",6516,6755,13271
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",2863,3121,5984
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",27,29,56
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",11,44,55
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",2752,3007,5759
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""","*","*",26
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",6134,6375,12509
"Waterbury School District","=""1510011""","North End ESC","=""1511811""","*","*",10
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",5323,5939,11262
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",15,23,38
"Waterbury School District","=""1510011""","Reed School","=""1513411""",970,1064,2034
"Waterbury School District","=""1510011""","Regan School","=""1512811""",1388,1399,2787
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",3177,2962,6139
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""",854,1257,2111
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",2213,2231,4444
"Waterbury School District","=""1510011""","State Street School","=""1519011""",164,596,760
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",2434,2441,4875
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",3077,1736,4813
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",1955,1308,3263
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",1288,984,2272
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",1747,1831,3578
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""",6,9,15
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",5801,6511,12312
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*",32
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",2018,2175,4193
"Waterford School District","=""1520011""","Autism Class","=""1521111""",0,6,6
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""","*","*",14
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",3234,3530,6764
"Waterford School District","=""1520011""","Cohanzie Elementary School","=""1520111""",182,205,387
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",1378,1283,2661
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",1775,1849,3624
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",1507,1813,3320
"Waterford School District","=""1520011""","Southwest Elementary School","=""1520511""",551,579,1130
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",4429,4548,8977
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","*","*","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",1556,1682,3238
"Watertown School District","=""1530011""","Heminway Park School","=""1530611""",139,133,272
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",3216,3749,6965
"Watertown School District","=""1530011""","Polk School","=""1530411""",1702,1838,3540
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",3566,3724,7290
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",4664,4619,9283
"Watertown School District","=""1530011""","Watertown Transition Academy","=""1530811""",0,"*","*"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",1720,1933,3653
"West Hartford School District","=""1550011""","Achieve","=""1559111""",24,45,69
"West Hartford School District","=""1550011""","REACH","=""1557311""",47,60,107
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",2136,2333,4469
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*","*",16
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",1960,2052,4012
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",2101,2092,4193
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",2192,2072,4264
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",1712,1655,3367
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",7432,7595,15027
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",2603,2723,5326
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",7482,7638,15120
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",4443,4677,9120
"West Hartford School District","=""1550011""","Morley School","=""1550911""",1726,1700,3426
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""",7,14,21
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",1848,2118,3966
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""",49,124,173
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",4307,4484,8791
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",49,124,173
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""",45,60,105
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",2349,2147,4496
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","*","*",25
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",2252,2729,4981
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""",9,21,30
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",2418,2461,4879
"West Haven School District","=""1560011""","Washington School","=""1561211""",2109,2388,4497
"West Haven School District","=""1560011""","Life Skills","=""1560111""",13,11,24
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*","*",16
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",1546,2043,3589
"West Haven School District","=""1560011""","Anna V. Molloy School","=""1561311""",437,373,810
"West Haven School District","=""1560011""","Blended","=""1560711""",20,13,33
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",15,14,29
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",4137,4341,8478
"West Haven School District","=""1560011""","Clarence E. Thompson School","=""1561011""",518,571,1089
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",1774,1785,3559
"West Haven School District","=""1560011""","Forest School","=""1560311""",2221,2365,4586
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",4200,4210,8410
"West Haven School District","=""1560011""","PACE","=""1560211""",36,71,107
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",2337,2508,4845
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",2324,2395,4719
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",7806,7787,15593
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",1507,1659,3166
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",1421,1495,2916
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",1315,1433,2748
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",2385,2668,5053
"Weston School District","=""1570011""","Weston High School","=""1576111""",3917,4014,7931
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",2708,2965,5673
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",2853,3167,6020
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",4108,4383,8491
"Westport School District","=""1580011""","CES Segregated","=""1580111""",0,14,14
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",2244,2200,4444
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",2608,2528,5136
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",2260,2277,4537
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""","*","*",9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",2417,2475,4892
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""","*","*",11
"Westport School District","=""1580011""","Long Lots School","=""1580711""",2777,3053,5830
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",2401,2768,5169
"Westport School District","=""1580011""","Staples High School","=""1586111""",8990,9240,18230
"Westport School District","=""1580011""","Stepping Stones Preschool","=""1588011""",185,322,507
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",1755,1956,3711
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",1629,1502,3131
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",2171,2239,4410
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",2144,2146,4290
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",1901,2076,3977
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",2872,2909,5781
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",5782,5995,11777
"Wethersfield School District","=""1590011""","Wethersfield Transition Academy","=""1590111""","*","*",15
"Willington School District","=""1600011""","Center School","=""1600111""",1059,1184,2243
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",1306,1385,2691
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",5043,5296,10339
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",5052,4978,10030
"Wilton School District","=""1610011""","Ina E. Driscoll School","=""1610611""",724,798,1522
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",3773,3996,7769
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",6434,6623,13057
"Wilton School District","=""1610011""","Wilton-Westport Evening School","=""1610111""","*","*",10
"Winchester School District","=""1620011""","ABLE","=""1629011""","*","*",7
"Winchester School District","=""1620011""","Batcheller - Bridges 1","=""1629211""","*","*","*"
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",876,1158,2034
"Winchester School District","=""1620011""","Bridges 2","=""1629111""",0,"*","*"
"Winchester School District","=""1620011""","Joy D. Rice School","=""1626111""","*","*",11
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",1258,1515,2773
"Winchester School District","=""1620011""","Pearson Academy","=""1620511""",95,132,227
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",1168,1377,2545
"Winchester School District","=""1620011""","WISE Academy","=""1620111""",6,21,27
"Windham School District","=""1630011""","Assisted Work Program","=""1631211""","*","*",9
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",910,929,1839
"Windham School District","=""1630011""","Early Headstart","=""1638011""",138,209,347
"Windham School District","=""1630011""","Early Headstart-Commerce Dr.","=""1638011""",138,209,347
"Windham School District","=""1630011""","Eastern Regional Academy/Windham","=""1639011""",27,106,133
"Windham School District","=""1630011""","Natchaug School","=""1630111""",1384,1664,3048
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","*","*",10
"Windham School District","=""1630011""","North Windham School","=""1630311""",2279,2277,4556
"Windham School District","=""1630011""","Partial Day Program","=""1638411""","*","*",16
"Windham School District","=""1630011""","Sweeney ASD Program","=""1631111""","*","*",6
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*","*",6
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",1509,1669,3178
"Windham School District","=""1630011""","Windham Center School","=""1630511""",1440,1491,2931
"Windham School District","=""1630011""","Windham Early Childhood Prospect Street","=""1638311""",939,1100,2039
"Windham School District","=""1630011""","Windham Early Childhood Tuckie Road","=""1631011""",46,49,95
"Windham School District","=""1630011""","Windham High School","=""1636111""",3273,3991,7264
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",3789,4100,7889
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",2135,2190,4325
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""",35,59,94
"Windsor Locks School District","=""1650011""","RISE Transition Academy","=""1650211""",11,11,22
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",1868,1962,3830
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",2465,2710,5175
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",1843,1981,3824
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",1401,1364,2765
"Windsor School District","=""1640011""","Community Based Transition Academy","=""1640211""",6,20,26
"Windsor School District","=""1640011""","Expulsion","=""1640411""","*","*",8
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",1795,1979,3774
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",1955,2196,4151
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","*",0,"*"
"Windsor School District","=""1640011""","Poquonock Elementary School","=""1640511""",1408,1449,2857
"Windsor School District","=""1640011""","Roger Wolcott Early Child Center","=""1641011""",560,660,1220
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",3804,3977,7781
"Windsor School District","=""1640011""","Spark","=""1640311""",13,16,29
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",5940,6518,12458
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*","*",12
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",1519,1759,3278
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",1737,1817,3554
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""",0,11,11
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",3207,3464,6671
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",1918,2011,3929
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",4207,4281,8488
"Woodbridge School District","=""1670011""","Beecher Road Intermediate School","=""1670211""",1046,1142,2188
"Woodbridge School District","=""1670011""","Beecher Road Primary School","=""1670111""",745,801,1546
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",1926,1927,3853
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",5591,5280,10871
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",2359,2436,4795
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",2026,2136,4162

