"FTE Staffing Report for Trend"

"",,,"Year",,,,
"Cheshire School District","Administrators  Coordinators and Department Chairs - School Level","Certified",18.1,18.7,17.7,18.7,20.1
,="Counselors  Social Workers  and School Psychologists",="Certified",21.0,21.6,22.6,22.1,22.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",41.8,45.1,42.1,42.1,48.1
,="General Education - Teachers and Instructors",="Certified",270.8,272.2,276.2,279.9,277.7
,="Library/Media - Support Staff",="Non-Certified",10.7,11.0,11.0,11.0,11.7
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",193.5,193.0,198.0,197.0,192.0
,="School Nurses",="Non-Certified",7.4,7.4,7.5,8.1,8.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",89.2,82.5,84.2,95.1,96.7
,="Special Education - Teachers and Instructors",="Certified",46.1,45.9,44.9,46.4,48.2
,="Instructional Specialists Who Support Teachers",="Certified",13.7,12.7,13.9,15.4,14.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,6.0,6.0,6.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",6.7,6.6,6.8,5.8,7.0
="Chester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.2,1.3,1.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.5,3.8,3.8,2.5,2.8
,="General Education - Teachers and Instructors",="Certified",22.6,21.5,19.9,19.5,19.1
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,8.0,8.0,8.0,7.3
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,7.0,6.5,7.0,5.8
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.5,3.8,3.8
,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.9,0.9,0.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8,0.8,0.8,0.8,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Clinton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.9,7.6,7.6,7.8,7.9
,="Counselors  Social Workers  and School Psychologists",="Certified",9.5,12.0,11.5,11.0,12.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4,10.3,13.1,13.1,13.8
,="General Education - Teachers and Instructors",="Certified",140.1,141.3,142.9,142.9,142.9
,="Library/Media - Support Staff",="Non-Certified",1.4,1.4,1.7,1.7,2.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",78.8,79.3,79.5,77.5,78.9
,="School Nurses",="Non-Certified",3.7,3.7,3.7,3.7,3.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",43.0,46.8,46.1,45.1,41.1
,="Special Education - Teachers and Instructors",="Certified",26.0,27.0,26.0,26.0,27.0
,="Instructional Specialists Who Support Teachers",="Certified",6.0,5.0,5.4,5.4,7.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.5,3.0,3.0,4.5,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Colchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0,9.0,9.0,9.0,9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",17.6,17.8,16.8,17.8,15.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.8,25.7,25.1,29.3,26.8
,="General Education - Teachers and Instructors",="Certified",195.3,186.4,181.4,180.3,175.8
,="Library/Media - Support Staff",="Non-Certified",4.5,4.5,4.5,4.5,4.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",121.1,115.8,117.5,114.5,107.6
,="School Nurses",="Non-Certified",5.5,5.5,5.5,5.5,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",47.0,54.5,51.0,53.5,55.5
,="Special Education - Teachers and Instructors",="Certified",27.5,27.5,25.2,23.0,24.0
,="Instructional Specialists Who Support Teachers",="Certified",13.1,14.4,14.2,11.6,12.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,3.0,3.0
="Colebrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
,="Counselors  Social Workers  and School Psychologists",="Certified",0.4,0.4,0.4,0.7,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",3.0,3.0,4.0,5.3,4.3
,="General Education - Teachers and Instructors",="Certified",8.2,8.2,8.2,8.4,7.4
,="Library/Media - Support Staff",="Non-Certified",0.6,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.1,6.0,6.3,5.7,5.6
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,3.0,3.0,3.0,3.0
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,1.0,1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.3,1.3,1.3,1.3,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.2
="Columbia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,4.0,3.0,4.5,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,2.0,3.0,3.0,3.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,4.0,4.0,2.0
,="General Education - Teachers and Instructors",="Certified",41.8,38.6,38.0,33.4,32.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.5,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.0,23.0,22.0,19.5,19.9
,="School Nurses",="Non-Certified",1.5,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0,10.0,9.0,9.0,12.0
,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,6.0,6.0
,="Instructional Specialists Who Support Teachers",="Certified",2.6,1.6,1.5,1.3,4.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Common Ground High School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,2.0,3.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5,0.5,0.5,0.5,0.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,1.0,1.0,1.0,4.9
,="General Education - Teachers and Instructors",="Certified",12.5,14.2,15.2,15.4,15.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.5,9.1,12.3,13.1,9.0
,="School Nurses",="Non-Certified",0.2,0.2,0.3,0.3,0.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",1.0,1.5,1.0,1.0,1.0
="Connecticut Technical High School System",="Administrators  Coordinators and Department Chairs - School Level",="Certified",104.1,104.6,100.1,105.8,145.1
,="Counselors  Social Workers  and School Psychologists",="Certified",77.9,76.9,79.9,83.9,93.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,10.0,13.4,12.4,11.3
,="General Education - Teachers and Instructors",="Certified",933.8,903.4,949.1,957.1,916.4
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",371.4,415.1,356.8,359.7,401.2
,="School Nurses",="Non-Certified",22.1,17.0,17.0,18.0,21.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",27.2,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",61.3,57.0,62.0,65.6,67.1
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,2.0,2.0,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",18.0,17.0,17.0,17.0,14.0
,="Library/Media - Specialists (Certified)",="Certified",16.9,13.9,14.9,15.9,16.0
="Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0,11.0,11.0,11.0,7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",18.2,19.7,19.7,20.7,18.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.6,21.8,21.0,28.0,36.0
,="General Education - Teachers and Instructors",="Certified",41.5,47.9,47.1,46.6,40.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",57.1,53.7,47.2,46.5,54.8
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
,="Special Education - Teachers and Instructors",="Certified",63.0,63.8,66.8,67.8,59.8
,="Instructional Specialists Who Support Teachers",="Certified",13.3,12.3,13.3,11.8,15.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,3.0,3.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Cornwall School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,0.9,0.5,0.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.2,2.2,2.5,2.5,1.7
,="General Education - Teachers and Instructors",="Certified",14.8,15.2,15.2,15.2,15.2
,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.9,0.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.8,4.8,4.9,4.9,4.2
,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.3,2.3,2.3,2.3
,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
="Coventry School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.4,6.4,6.3,6.7,7.5
,="Counselors  Social Workers  and School Psychologists",="Certified",11.2,11.8,11.8,11.8,12.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.2,16.7,18.2,15.4,13.7
,="General Education - Teachers and Instructors",="Certified",108.2,112.6,117.7,116.0,116.4
,="Library/Media - Support Staff",="Non-Certified",1.7,2.9,2.5,1.0,1.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",78.7,82.9,79.6,82.0,81.1
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,28.5,27.0,28.0,28.0
,="Special Education - Teachers and Instructors",="Certified",19.5,21.0,23.0,22.9,22.0
,="Instructional Specialists Who Support Teachers",="Certified",5.4,5.3,3.9,5.4,7.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,4.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,2.0,2.0,2.0
="Cromwell School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,7.0,7.0,9.0,7.4
,="Counselors  Social Workers  and School Psychologists",="Certified",8.0,9.0,9.0,9.4,10.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.5,24.7,27.2,12.3,10.0
,="General Education - Teachers and Instructors",="Certified",128.7,132.8,130.8,131.4,128.0
,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",81.0,98.9,105.0,95.8,96.3
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5,23.0,15.8,33.0,34.5
,="Special Education - Teachers and Instructors",="Certified",20.5,20.5,20.5,22.0,24.0
,="Instructional Specialists Who Support Teachers",="Certified",6.0,8.0,8.0,8.0,8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Danbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.2,31.6,31.6,34.4,48.4
,="Counselors  Social Workers  and School Psychologists",="Certified",49.0,49.6,49.6,53.2,56.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",61.5,50.2,54.6,61.5,70.4
,="General Education - Teachers and Instructors",="Certified",575.5,576.2,586.3,603.7,641.0
,="Library/Media - Support Staff",="Non-Certified",9.6,9.6,9.6,9.1,8.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",344.2,322.8,332.0,359.3,353.3
,="School Nurses",="Non-Certified",20.6,19.6,19.6,21.4,22.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",196.2,177.8,180.8,211.8,234.0
,="Special Education - Teachers and Instructors",="Certified",91.1,90.6,92.0,95.0,98.6
,="Instructional Specialists Who Support Teachers",="Certified",38.4,38.3,39.9,41.9,48.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",14.0,11.0,13.0,13.0,6.0
,="Library/Media - Specialists (Certified)",="Certified",20.0,20.0,18.0,20.0,21.0
="Darien School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",21.1,32.4,33.1,34.6,21.4
,="Counselors  Social Workers  and School Psychologists",="Certified",23.2,24.2,26.2,26.3,28.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",32.9,31.7,31.2,62.2,35.0
,="General Education - Teachers and Instructors",="Certified",322.7,326.3,329.2,331.9,350.5
,="Library/Media - Support Staff",="Non-Certified",8.0,7.2,4.5,4.5,4.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",148.8,139.3,139.3,149.1,147.8
,="School Nurses",="Non-Certified",12.0,12.0,12.0,12.0,12.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",56.3,50.0,39.0,58.0,90.0
,="Special Education - Teachers and Instructors",="Certified",61.6,63.4,68.4,65.8,60.5
,="Instructional Specialists Who Support Teachers",="Certified",28.0,23.9,21.0,21.0,29.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.7,8.0,7.7,7.7,5.7
,="Library/Media - Specialists (Certified)",="Certified",9.0,8.0,9.0,9.0,9.0
="Deep River School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.4,1.5,1.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,7.1,5.8,5.8,6.8
,="General Education - Teachers and Instructors",="Certified",26.6,26.6,26.6,26.8,25.2
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.4,8.1,8.5,8.5,8.4
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,9.5,12.1,12.1,11.0
