"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,0,58,17,10,20,45,0,0,51,1503,905,2609
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",76,15,12,54,214,0,0,29,1815,860,3083
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*",9,118,17,20,78,288,"*",0,59,2781,1302,4679
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*",19,169,39,"*",156,527,0,0,58,3434,1802,6226
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,10,157,30,14,113,354,9,0,117,3283,1600,5687
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",13,55,135,220,104,88,332,0,0,56,5571,2715,9289
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",0,"*",0,0,0,0,0,0,0,0,"*",0,27
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",16,9,149,59,53,84,253,6,0,136,3650,2034,6449
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*",25,143,79,53,83,190,"*",0,82,3717,1896,6297
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",16,44,134,121,93,106,191,0,0,64,4080,2081,6930
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",11,0,"*","*",6,0,14,0,0,54,596,336,1024
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*",0,33,38,9,51,178,"*",0,42,3075,1637,5068
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,0,20,416,221,163,468,0,0,52,293,77,1710
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*",17,58,1648,668,1102,3179,"*",0,50,404,94,7234
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",7,13,63,2015,999,1416,3232,0,0,62,379,197,8383
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",12,28,42,355,176,783,2438,0,0,100,1427,518,5879
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*",6,23,1309,660,799,2122,"*",0,53,257,95,5329
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",27,47,58,390,231,446,1292,11,0,140,1847,1071,5560
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*",10,42,342,73,192,856,"*",0,95,2576,1284,5480
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",16,30,76,289,143,655,1807,0,0,99,3140,1379,7634
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",26,38,54,29,"*",52,199,"*",0,154,3648,1586,5797
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*",15,94,195,124,422,1653,"*",0,101,2469,1251,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*",24,150,651,215,219,1010,"*",0,117,2695,1306,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","*",0,"*",170,189,207,333,0,0,18,177,79,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",25,35,47,202,81,123,576,10,0,300,3476,1196,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*",18,54,66,38,72,348,"*",0,61,4112,2082,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",12,28,80,753,362,577,1896,0,0,174,2962,1635,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*",14,35,415,143,146,610,"*",0,157,3013,1470,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",15,30,93,723,392,636,1471,13,0,147,2811,1099,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","*",30,20,70,39,368,1135,"*",0,72,2442,1125,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""","*",0,"*",0,112,93,0,0,0,0,0,297,510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,31,135,17,"*",76,0,0,"*",378,51,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,0,18,130,11,16,94,0,0,10,117,29,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,"*","*",0,"*",21,"*",0,0,63,9,101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",0,0,"*",113,39,42,280,0,0,"*",73,25,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",7,"*",202,1084,509,370,1174,"*",0,68,773,364,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*",15,180,31,29,216,0,0,61,540,81,1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,0,29,"*","*",12,55,0,0,50,563,337,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","*","*",35,29,24,43,136,0,0,122,2555,1453,4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",0,0,0,"*",0,0,"*",0,0,6,21,0,32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,0,0,"*",0,"*",7,0,0,"*",89,35,135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*","*",58,23,22,23,122,0,0,69,2315,1185,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*",36,34,34,31,141,0,0,116,3215,1594,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",0,0,0,"*",0,0,10,0,0,"*",68,0,84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","*","*",48,28,25,39,147,0,0,99,2404,1291,4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",0,0,0,"*",0,0,10,0,0,"*",68,0,84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",13,225,334,138,81,281,"*",0,29,3070,1487,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*",260,288,138,83,270,0,0,31,2527,1114,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*",307,295,117,95,297,15,0,60,2483,1150,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*","*",298,281,111,94,261,"*",0,34,2434,1183,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,21,113,69,67,228,0,0,7,245,128,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*",0,847,633,319,847,2951,"*",0,159,3264,1885,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",0,"*",30,29,0,0,281,0,0,"*",181,0,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*","*",2280,2086,900,2480,7525,10,0,283,8930,4442,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,0,256,172,108,501,1750,0,0,96,727,393,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,0,144,67,69,291,1054,0,0,83,1051,514,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","*","*",567,250,121,426,1437,10,0,129,838,523,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*",0,267,220,66,241,871,0,0,"*",1222,565,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*","*",209,104,34,282,1185,0,0,71,1346,547,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",0,0,109,"*",144,301,114,"*",0,19,258,535,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",0,"*",304,270,118,254,865,"*","*",78,1229,442,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,0,159,173,89,592,1827,"*",0,"*",542,330,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,0,301,198,123,523,2008,0,0,90,977,429,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","*","*",313,177,82,295,927,0,0,87,1124,522,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,"*",695,636,377,1141,3551,"*",0,124,2659,1318,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","*","*",413,215,100,398,1409,"*",0,77,1223,490,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""","*","*",165,204,77,478,1644,0,0,81,587,369,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,"*",357,172,85,403,1249,"*",0,59,1546,777,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*","*",337,199,75,140,668,0,0,19,1660,780,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",0,"*",143,112,0,0,441,"*",0,48,741,0,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",16,16,396,62,35,86,405,0,0,19,8580,3453,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",0,233,20,"*",15,128,0,0,42,3466,1520,5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",0,177,"*",13,39,89,0,0,46,2876,1342,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",15,6,404,46,15,57,289,0,0,29,7320,3225,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*",16,139,"*",8,23,152,0,0,61,2885,1424,4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",20,201,26,"*",38,156,0,0,31,2612,1221,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,0,115,14,23,"*",99,"*",0,80,3074,1180,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",23,23,27,77,161,"*",0,52,2035,972,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,0,0,0,"*","*",0,0,0,0,0,9,15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""",0,0,0,0,0,"*",0,0,0,0,0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,0,"*",8,"*",0,6,0,0,0,10,0,28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,0,0,"*",0,0,"*",0,0,0,"*","*",7
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,0,139,237,105,147,426,15,0,101,1625,815,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",0,0,0,"*",0,0,7,0,0,"*",6,0,16
"Derby School District","=""0370011""","Derby High School","=""0376111""",11,"*",88,423,304,357,603,"*",0,38,1427,1218,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,49,383,0,0,599,14,0,71,1259,0,2375
"Derby School District","=""0370011""","Irving School","=""0370411""","*",0,83,509,270,415,980,"*",0,86,986,579,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",0,"*","*",11,0,0,18,0,0,"*",43,0,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",0,0,0,"*",0,0,7,0,0,"*",6,0,16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",9,"*",120,118,39,31,119,"*",0,54,1157,754,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",94,112,32,13,81,0,0,33,1545,685,2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",75,119,32,24,83,0,0,26,1185,586,2139
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",81,90,21,17,71,0,0,32,938,370,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",36,16,13,40,73,0,0,32,2229,1312,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","*","*",36,23,12,27,63,"*",0,19,2441,1175,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","*",0,33,"*",26,45,44,0,0,20,3218,1523,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,54,13,"*",42,91,"*",0,34,1897,930,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",114,49,28,25,132,"*",0,25,3355,1653,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,"*",89,31,32,29,143,"*",0,29,2858,1403,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*",0,104,18,"*",76,190,0,0,132,3975,1764,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,"*",0,"*",0,0,0,0,"*",41,12,57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",159,623,384,417,1141,0,0,8,173,83,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*",11,204,431,135,126,242,0,0,"*",482,205,1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","*",9,186,916,439,558,1266,"*",0,17,305,153,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*",13,174,984,425,410,1218,6,0,"*",225,125,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","*","*",155,941,259,310,1218,0,0,23,996,351,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",15,26,970,4229,2063,1980,4685,0,0,32,2128,1437,17565
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",14,30,577,2681,1014,1093,3172,0,0,14,1181,586,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","*",9,550,716,305,279,807,"*",0,22,555,283,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",0,"*",21,76,0,0,150,0,0,"*",50,0,307
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,0,143,546,407,426,904,0,0,16,338,149,2929
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","*","*",162,715,326,276,797,0,0,9,676,351,3318
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","*",8,263,1239,519,529,1545,"*",0,21,357,136,4627
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","*","*",27,730,390,463,1038,0,0,21,203,80,2962
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",0,"*",24,333,149,146,380,0,0,"*",168,111,1313
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",0,"*",24,333,149,146,380,0,0,"*",168,111,1313
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",7,"*",140,808,501,562,766,0,0,"*",319,263,3374
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",7,0,106,422,288,385,743,0,0,24,204,118,2297
