"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""","*",12,"*",25
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","*",17,"*",27
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",230,2345,37,2612
"Southington School District","=""1310011""","Preschool/ABA ~ Hatton School","=""1310311""",8,25,0,33
"Southington School District","=""1310011""","Preschool/ABA ~ South End School","=""1311911""","*","*",0,10
"Southington School District","=""1310011""","STELLAR","=""1312211""","*","*",0,8
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",221,2021,74,2316
"Southington School District","=""1310011""","South End Preschool Program","=""1312111""","*",36,"*",46
"Southington School District","=""1310011""","Southington High School","=""1316211""",1698,18174,557,20429
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""","*",36,"*",46
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",18,135,0,153
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",327,3275,124,3726
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",407,3785,100,4292
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*",11,"*",21
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",15,"*","*",26
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",167,3548,22,3737
"Sprague School District","=""1330011""","Sayles School","=""1330111""",1151,2123,316,3590
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",1152,3379,447,4978
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",787,3724,345,4856
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",724,2794,351,3869
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",7,"*","*",17
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",382,1252,125,1759
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",541,1144,131,1816
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",1097,120,175,1392
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",206,140,35,381
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",128,104,11,243
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",124,277,21,422
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",2420,2912,504,5836
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",2249,3039,371,5659
"Stamford School District","=""1350011""","Dolan School","=""1355311""",2414,2622,532,5568
"Stamford School District","=""1350011""","Hart School","=""1352211""",2315,2698,488,5501
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",21,39,6,66
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",2533,2734,630,5897
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",2439,2377,583,5399
"Stamford School District","=""1350011""","New School at 200 Strawberry Hill Avenue","=""1350711""",48,171,10,229
"Stamford School District","=""1350011""","Newfield School","=""1350611""",2481,3621,418,6520
"Stamford School District","=""1350011""","Northeast School","=""1351811""",2591,4097,396,7084
"Stamford School District","=""1350011""","Preschool Team","=""1358011""","*",484,"*",600
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",3018,3445,665,7128
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",2617,4071,619,7307
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",2729,3180,528,6437
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",2253,3476,676,6405
"Stamford School District","=""1350011""","Springdale School","=""1351111""",2879,2865,494,6238
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",7102,9286,1630,18018
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",2863,3366,514,6743
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",1507,4524,527,6558
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",2780,2867,600,6247
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",2374,2973,467,5814
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",8247,12075,1812,22134
"Stamford School District","=""1350011""","Westover School","=""1351411""",2694,3718,578,6990
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",1156,3282,365,4803
"Stonington School District","=""1370011""","Community Classroom","=""1370811""",0,"*",0,"*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",274,4313,67,4654
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",261,3777,103,4141
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",656,2407,196,3259
"Stonington School District","=""1370011""","SAILS","=""1370711""","*","*","*","*"
"Stonington School District","=""1370011""","Special Needs Preschool Program","=""1378011""",0,79,0,79
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""","*","*",0,84
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""","*","*",0,78
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",806,6587,250,7643
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",289,1173,65,1527
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",331,1706,74,2111
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",1074,3557,535,5166
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","*","*",0,8
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","*","*",0,12
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","*","*","*",9
"Stratford School District","=""1380011""","ALPHA","=""1380511""",75,37,6,118
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",2467,8325,1036,11828
"Stratford School District","=""1380011""","Chapel School","=""1380311""",1714,3098,577,5389
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","*","*",0,11
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",1507,3262,704,5473
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""",11,"*","*",14
"Stratford School District","=""1380011""","Franklin School","=""1380411""",1632,1038,491,3161
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",1751,3333,742,5826
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",12,"*","*",18
"Stratford School District","=""1380011""","High School Sails","=""1380711""","*",14,"*",28
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""",283,1004,94,1381
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""","*","*","*",6
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""",13,"*","*",19
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","*","*","*","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""",14,"*","*",27
"Stratford School District","=""1380011""","Lordship School","=""1380811""",849,1264,239,2352
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","*","*",0,10
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","*",7,"*",16
"Stratford School District","=""1380011""","Nichols School","=""1380911""",1371,2321,576,4268
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",2090,3832,908,6830
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",27,13,7,47
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","*","*",0,7
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",145,349,59,553
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",1054,3362,547,4963
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",2828,6146,1045,10019
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","*",127,"*",153
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",900,2510,382,3792
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",337,4571,52,4960
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",394,4782,109,5285
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",543,7639,226,8408
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",415,5357,156,5928
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",1673,548,499,2720
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",1430,2910,425,4765
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",447,2561,177,3185
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",370,1955,170,2495
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",553,3909,317,4779
"Thompson School District","=""1410011""","District Autism Program","=""1410211""",0,"*",0,"*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",1172,3116,382,4670
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",923,2684,362,3969
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",578,2400,242,3220
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",262,5859,68,6189
"Tolland School District","=""1420011""","TALC","=""1420311""","*",22,"*",33
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",338,8261,163,8762
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",272,5965,99,6336
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",308,6898,147,7353
"Torrington School District","=""1430011""","East School","=""1430111""",826,2980,313,4119
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""","*","*",0,6
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""","*","*",0,"*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",53,26,11,90
"Torrington School District","=""1430011""","Forbes School","=""1430211""",1814,1726,295,3835
"Torrington School District","=""1430011""","Hilltop Outreach","=""1432311""","*","*",0,11
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",11,"*","*",20
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""","*",30,"*",56
"Torrington School District","=""1430011""","PreK","=""1432211""",53,26,11,90
"Torrington School District","=""1430011""","Southwest School","=""1430811""",1433,1431,328,3192
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""","*","*",0,"*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""","*","*",0,11
"Torrington School District","=""1430011""","Torringford School","=""1430911""",1467,4320,593,6380
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""",11,"*","*",20
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",3140,6947,845,10932
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",3688,6070,1067,10825
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",2882,1218,500,4600
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""","*","*",0,7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",1096,226,178,1500
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",225,4726,94,5045
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",125,4648,50,4823
"Trumbull School District","=""1440011""","Educating Learners in Transitional Environments (ELITE)","=""1440611""",0,9,0,9
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",396,5531,201,6128
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",392,6951,214,7557
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",139,3835,59,4033
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",395,7792,222,8409
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",325,4270,164,4759
"Trumbull School District","=""1440011""","REACH","=""1440511""","*","*",0,26
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",81,3970,48,4099
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","*",11,"*",15
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",37,2209,0,2246
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",1011,19828,538,21377
"Unified School District #1","=""3360015""","Bergin Correctional Institution","=""3361715""",128,0,0,128
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",139,0,0,139
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",41,0,0,41
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","*",0,"*",234
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",339,0,0,339
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",118,0,0,118
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",184,0,0,184
"Unified School District #1","=""3360015""","Gates Correctional Institution","=""3360515""",96,0,0,96
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",374,0,0,374
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",429,0,0,429
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","*",0,"*",3823
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",136,0,0,136
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",159,0,0,159
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",189,0,0,189
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",189,0,0,189
"Unified School District #1","=""3360015""","Webster Correctional Institution","=""3361415""",35,0,0,35
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",137,0,0,137
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",356,0,0,356
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""",264,26,0,290
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",264,26,0,290
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",67,0,0,67
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",523,78,0,601
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","*",0,0,"*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",860,42,0,902
"Union School District","=""1450011""","Union Elementary School","=""1450111""",19,729,11,759
"Vernon School District","=""1460011""","Northeast School","=""1460311""",1259,1598,191,3048
"Vernon School District","=""1460011""","Center Road School","=""1461411""",1093,3592,196,4881
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",391,2189,88,2668
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",13,15,0,28
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",1739,1128,212,3079
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","*",84,"*",103
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",2360,7128,549,10037
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",1228,1921,196,3345
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""","*","*","*",8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",2342,4523,463,7328
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",501,2416,135,3052
"Wallingford School District","=""1480011""","Highland School","=""1480211""",198,2874,44,3116
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",38,100,9,147
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",483,3208,96,3787
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""",1028,5848,245,7121
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",1028,5848,245,7121
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","*",33,"*",55
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",658,2990,115,3763
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*",32,"*",47
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",830,6516,205,7551
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",1276,9543,389,11208
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",706,8267,181,9154
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",556,2744,130,3430
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",15,52,0,67
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",578,2436,144,3158
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",574,2626,138,3338
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",461,2871,100,3432
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",278,3751,69,4098
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",682,85,59,826
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",8004,1958,1030,10992
"Waterbury School District","=""1510011""","Washington School","=""1512311""",2730,358,173,3261
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",3334,1770,546,5650
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*",0,28
"Waterbury School District","=""1510011""","Barnard School","=""1510311""",801,149,101,1051
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",87,"*","*",152
"Waterbury School District","=""1510011""","Bucks Hill CBL","=""1514611""","*",6,"*",9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",4026,976,396,5398
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",30,"*","*",37
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",3656,977,397,5030
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","*","*",0,23
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",3103,1304,475,4882
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",67,"*","*",104
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""","*","*",0,6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",9050,2927,1290,13267
"Waterbury School District","=""1510011""","Crosby NVCC","=""1514011""","*","*",0,15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",4536,604,257,5397
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","*","*","*",8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",2167,397,141,2705
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",1456,199,66,1721
"Waterbury School District","=""1510011""","Excel II","=""1513811""","*","*",0,"*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""",6,0,0,6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",3697,877,449,5023
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",2595,938,392,3925
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",5435,1462,780,7677
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",79,"*","*",95
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",3551,583,345,4479
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",8141,4145,985,13271
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",2195,3283,506,5984
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",10,46,0,56
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",41,"*","*",55
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",3925,1232,602,5759
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""",19,7,0,26
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",9081,2138,1290,12509
"Waterbury School District","=""1510011""","North End ESC","=""1511811""","*","*",0,10
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",8425,1948,889,11262
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",32,6,0,38
"Waterbury School District","=""1510011""","Reed School","=""1513411""",1655,294,85,2034
"Waterbury School District","=""1510011""","Regan School","=""1512811""",1882,601,304,2787
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",2034,3398,707,6139
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""",1117,846,148,2111
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",3432,773,239,4444
"Waterbury School District","=""1510011""","State Street School","=""1519011""",624,105,31,760
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",4300,397,178,4875
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",1780,2535,498,4813
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",1325,1618,320,3263
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",1470,567,235,2272
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",2143,1029,406,3578
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""",9,6,0,15
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",8796,2549,967,12312
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""",25,"*","*",32
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",3330,651,212,4193
"Waterford School District","=""1520011""","Autism Class","=""1521111""","*","*",0,6
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""","*","*",0,14
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",788,5714,262,6764
"Waterford School District","=""1520011""","Cohanzie Elementary School","=""1520111""",28,343,16,387
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",412,2147,102,2661
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",438,3041,145,3624
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",407,2743,170,3320
"Waterford School District","=""1520011""","Southwest Elementary School","=""1520511""",131,960,39,1130
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",789,7936,252,8977
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""",0,"*",0,"*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",434,2658,146,3238
"Watertown School District","=""1530011""","Heminway Park School","=""1530611""",29,232,11,272
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",790,5933,242,6965
"Watertown School District","=""1530011""","Polk School","=""1530411""",654,2653,233,3540
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",1113,5707,470,7290
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",1205,7573,505,9283
"Watertown School District","=""1530011""","Watertown Transition Academy","=""1530811""","*","*",0,"*"
"West Hartford School District","=""1550011""","Smith School","=""1551711""",1248,2051,354,3653
"West Hartford School District","=""1550011""","Achieve","=""1559111""","*",59,"*",69
"West Hartford School District","=""1550011""","REACH","=""1557311""",60,38,9,107
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",204,4154,111,4469
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*","*",0,16
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",346,3575,91,4012
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",566,3468,159,4193
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",206,4021,37,4264
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",1291,1782,294,3367
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",2743,11450,834,15027
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",385,4880,61,5326
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",1804,12721,595,15120
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",1134,7588,398,9120
"West Hartford School District","=""1550011""","Morley School","=""1550911""",200,3155,71,3426
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","*","*",0,21
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",163,3764,39,3966
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""",106,55,12,173
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",1676,6623,492,8791
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",106,55,12,173
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","*","*",0,105
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",933,3315,248,4496
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","*",14,"*",25
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",909,3902,170,4981
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","*",22,"*",30
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",849,3746,284,4879
"West Haven School District","=""1560011""","Washington School","=""1561211""",2549,1489,459,4497
"West Haven School District","=""1560011""","Life Skills","=""1560111""",15,"*","*",24
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*",8,"*",16
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",1242,2067,280,3589
"West Haven School District","=""1560011""","Anna V. Molloy School","=""1561311""",328,360,122,810
"West Haven School District","=""1560011""","Blended","=""1560711""",20,13,0,33
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",12,17,0,29
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",4437,3197,844,8478
"West Haven School District","=""1560011""","Clarence E. Thompson School","=""1561011""",576,356,157,1089
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",1213,2032,314,3559
"West Haven School District","=""1560011""","Forest School","=""1560311""",2684,1436,466,4586
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",3537,4173,700,8410
"West Haven School District","=""1560011""","PACE","=""1560211""",83,18,6,107
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",3098,1221,526,4845
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",1609,2687,423,4719
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",5961,8457,1175,15593
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",390,2701,75,3166
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",202,2628,86,2916
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",285,2398,65,2748
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",45,4999,9,5053
"Weston School District","=""1570011""","Weston High School","=""1576111""",101,7768,62,7931
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",61,5583,29,5673
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",62,5915,43,6020
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",239,8200,52,8491
"Westport School District","=""1580011""","CES Segregated","=""1580111""","*","*",0,14
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",58,4363,23,4444
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",107,4993,36,5136
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",127,4353,57,4537
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""","*","*",0,9
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",133,4724,35,4892
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""","*","*",0,11
"Westport School District","=""1580011""","Long Lots School","=""1580711""",103,5683,44,5830
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",78,5070,21,5169
"Westport School District","=""1580011""","Staples High School","=""1586111""",511,17596,123,18230
"Westport School District","=""1580011""","Stepping Stones Preschool","=""1588011""","*",499,"*",507
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",522,3028,161,3711
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",570,2309,252,3131
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",479,3724,207,4410
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",454,3712,124,4290
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",490,3353,134,3977
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",714,4771,296,5781
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",1381,9812,584,11777
