"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",570,578,671,640,638,641,637,649,640,667,6331
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",564,597,623,658,673,685,667,654,653,624,6398
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",255,225,0,0,0,0,0,145,250,319,1194
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",410,473,557,646,656,676,680,673,657,643,6071
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",720,741,761,709,669,659,647,660,657,639,6862
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",853,884,880,869,885,852,836,826,811,783,8479
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",587,583,607,599,607,640,656,630,588,522,6019
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",704,716,737,745,761,758,743,741,758,767,7430
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",483,522,557,574,572,570,550,525,496,474,5323
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",240,270,0,0,0,0,0,0,0,0,510
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,76,82,90,91,94,90,87,87,697
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,0,58,53,51,54,51,50,57,51,425
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,10,12,11,14,12,11,17,14,101
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",0,54,53,53,51,54,54,85,90,84,578
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",435,430,439,452,463,473,471,459,468,466,4556
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,0,142,135,147,152,140,154,150,140,1160
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",129,122,122,115,106,103,105,91,92,72,1057
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",539,514,481,462,452,408,393,385,397,374,4405
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",0,0,0,0,0,0,0,10,12,10,32
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",11,14,11,13,23,16,20,27,0,0,135
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",425,410,414,391,380,380,377,363,348,335,3823
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",559,553,563,558,524,511,518,490,465,465,5206
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",0,0,0,0,0,0,0,0,38,46,84
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",474,461,440,411,401,408,377,368,365,386,4091
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",0,0,0,0,0,0,0,0,38,46,84
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",559,573,605,588,546,535,549,566,578,563,5662
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",473,462,465,475,500,509,454,455,447,479,4719
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",485,488,477,489,480,486,468,466,477,509,4825
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",472,494,501,465,456,441,477,481,480,438,4705
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",97,86,88,80,91,78,83,98,94,83,878
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1144,1105,1108,1114,1122,1094,1092,1083,1039,1011,10912
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",0,0,0,0,0,0,139,130,141,134,544
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2835,2839,2854,2898,2889,2887,2878,2885,2941,3041,28947
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",333,351,395,396,378,405,435,429,432,449,4003
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",315,301,307,299,314,327,356,355,354,345,3273
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",400,406,439,388,396,411,469,458,470,467,4304
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",317,317,307,374,372,363,370,366,369,356,3511
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",294,334,300,415,415,404,417,390,409,419,3797
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",347,352,352,134,148,165,0,0,0,0,1498
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",298,296,296,402,426,401,412,334,350,349,3564
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",343,346,369,342,406,420,468,371,357,373,3795
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",376,400,408,425,426,431,433,563,595,592,4649
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",336,336,325,343,366,362,376,375,368,348,3535
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1031,1020,1036,1094,1110,1200,1200,932,938,950,10511
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",338,375,396,409,419,416,416,497,520,545,4331
"Danbury School District","=""0340011""","South Street School","=""0341011""",306,335,344,388,343,368,375,369,378,403,3609
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",455,470,467,452,467,449,432,472,496,495,4655
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",317,371,383,386,389,431,423,413,390,393,3896
"Danbury School District","=""0340011""","Western Connection","=""0340711""",0,0,0,0,0,0,0,0,0,"*","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",0,0,0,0,0,0,0,400,496,595,1491
"Darien School District","=""0350011""","Darien High School","=""0356111""",1180,1236,1264,1315,1315,1329,1354,1365,1356,1354,13068
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",519,518,546,594,570,579,565,556,501,491,5439
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",484,475,484,439,419,433,454,473,462,471,4594
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1117,1132,1156,1159,1154,1135,1128,1125,1167,1133,11406
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",512,495,478,472,465,474,458,449,458,452,4713
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",451,440,443,419,409,413,452,442,433,414,4316
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",390,425,409,444,483,496,492,493,479,486,4597
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",389,353,349,351,357,347,330,312,304,283,3375
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",7,"*","*",0,0,0,0,0,0,0,15
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","*",0,0,0,0,0,0,0,0,0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*","*",0,"*","*","*","*",6,"*","*",28
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*","*","*",0,0,0,"*","*",0,"*",7
"Derby School District","=""0370011""","Bradley School","=""0370611""",364,383,386,367,351,345,376,365,347,326,3610
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",0,0,0,0,0,0,0,0,"*","*",16
"Derby School District","=""0370011""","Derby High School","=""0376111""",669,641,624,385,359,361,381,372,344,345,4481
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,0,319,334,366,364,339,332,321,2375
"Derby School District","=""0370011""","Irving School","=""0370411""",417,438,439,396,402,420,378,370,328,329,3917
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",0,0,0,0,0,0,0,0,33,45,78
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",0,0,0,0,0,0,0,0,"*","*",16
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",294,288,281,255,238,241,194,222,206,191,2410
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",258,252,256,275,263,271,259,257,264,247,2602
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",218,216,230,211,216,213,208,211,196,220,2139
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",141,142,137,150,129,137,207,185,202,198,1628
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",536,433,421,412,371,337,326,319,309,294,3758
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",406,418,406,387,406,399,372,351,321,334,3800
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",477,572,559,540,497,508,488,455,431,398,4925
"East Hampton School District","=""0420011""","Center School","=""0420311""",349,350,301,288,303,285,295,283,297,324,3075
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",580,595,570,552,550,523,520,502,515,488,5395
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",508,474,499,508,469,449,423,432,433,423,4618
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",633,629,648,615,621,631,626,605,637,633,6278
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,7,8,7,"*",6,7,8,6,"*",57
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",298,322,319,291,274,280,296,284,312,319,2995
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",166,169,167,180,188,188,197,203,192,197,1847
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",408,410,408,408,401,371,364,364,356,361,3851
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",347,332,345,369,381,387,402,375,322,329,3589
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",314,322,331,338,313,504,533,557,509,544,4265
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",2022,1898,1903,1734,1732,1642,1682,1674,1649,1629,17565
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1002,967,905,1021,1051,1044,1101,1158,1074,1039,10362
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",352,353,376,382,361,323,343,342,344,355,3531
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",0,0,0,0,0,0,0,0,0,307,307
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",354,333,340,317,297,293,322,337,336,0,2929
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",320,331,355,390,348,314,301,298,298,363,3318
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",464,414,411,388,547,506,498,494,475,430,4627
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",323,297,334,308,287,275,304,284,274,276,2962
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",151,148,117,152,151,173,105,119,110,87,1313
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",151,148,117,152,151,173,105,119,110,87,1313
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",452,492,462,346,404,308,253,146,204,307,3374
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",288,278,285,287,233,237,231,229,229,0,2297
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",180,169,184,188,186,191,199,170,182,170,1819
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",221,228,237,290,285,279,269,265,264,353,2691
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",239,233,226,273,266,269,215,208,207,0,2136
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",335,337,344,348,305,329,329,312,308,253,3200
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",186,189,197,246,251,228,202,178,189,192,2058
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",1097,1014,968,943,885,923,907,880,889,921,9427
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",212,212,233,204,196,187,173,178,172,274,2041
"East Haven School District","=""0440011""","Hays School","=""0441911""",178,163,154,0,0,0,0,0,0,0,495
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",482,499,474,680,647,594,571,582,589,557,5675
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",209,204,212,181,166,180,152,147,186,291,1928
