"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Black or African American","*",9.1,12.7,14.1,9.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELL","*","*",25.0,11.8,23.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",14.0,17.0,20.7,19.6,16.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Female",10.1,11.7,14.8,13.7,10.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   6",7.7,12.8,11.3,6.5,7.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   7",11.7,10.3,13.4,20.3,8.6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Grade   8",13.2,11.7,15.9,13.7,14.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Hispanic/Latino of any race",11.5,14.8,16.0,15.7,11.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Male",11.4,11.5,12.4,13.1,9.6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-ELL",10.8,11.5,12.7,13.5,9.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",10.7,10.5,12.6,12.1,9.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","School",10.8,11.6,13.5,13.4,10.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Special Education",12.3,21.3,20.0,22.9,16.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch",8.0,7.4,5.7,6.2,4.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","White",12.1,10.2,12.2,11.5,8.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Kindergarten","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Black or African American",29.0,"*",27.6,37.9,22.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Free Lunch",35.6,34.9,35.3,40.6,23.3
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Female",31.0,34.0,44.4,45.7,24.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   1","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   2","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   3","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   4","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   5","*",33.3,35.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   6",33.3,35.0,28.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   7","*",50.0,"*",38.5,"*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   8","*","*","*","*",30.8
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Hispanic/Latino of any race",41.9,58.8,57.6,50.0,30.0
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Male",28.4,30.2,29.2,27.2,23.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Non-ELL",29.1,31.4,33.8,32.9,23.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","School",29.1,31.4,33.8,32.9,23.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Special Education",29.1,31.4,33.8,32.9,23.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Two or More Races","N/A","N/A","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade   9","N/A","*","N/A","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade 10","*","N/A","N/A","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade 11","*","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Not Eligible For Lunch",24.7,25.9,31.9,28.2,"*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","White",24.4,26.0,25.7,22.9,22.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Grade 12","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Asian","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Black or African American",46.5,51.4,50.0,43.3,46.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Free Lunch",35.5,41.1,54.1,50.0,41.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Female",44.8,42.4,58.3,52.8,42.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   8","*","*","N/A","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Hispanic/Latino of any race",37.5,36.4,55.3,56.8,47.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Male",35.3,39.5,39.2,40.7,41.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Non-ELL",37.7,40.4,45.2,44.4,41.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","School",37.7,40.4,45.2,44.4,41.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Special Education",37.7,40.4,45.2,44.4,41.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade   9","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 10","*","*","*",28.6,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 11",39.1,58.3,"*","*",36.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Not Eligible For Lunch","*",31.8,22.2,30.0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","White",26.5,33.3,29.3,32.6,34.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Grade 12",38.1,33.8,48.4,46.2,49.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Asian","*","*","*","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Black or African American",64.6,70.7,71.1,68.8,61.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Free Lunch",71.6,74.7,72.0,77.6,74.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female",77.3,70.8,65.5,78.6,75.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   8","*","*","N/A","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Hispanic/Latino of any race",80.8,77.8,71.4,77.8,86.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male",67.1,72.9,73.8,69.2,73.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Non-ELL",69.6,72.3,71.3,72.0,74.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","School",69.6,72.3,71.3,72.0,74.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Special Education",69.6,72.3,71.3,72.0,74.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade   9","*","*",66.7,63.0,68.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 10",70.0,81.8,"*",73.1,76.9
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 11",69.6,69.6,"*","*",66.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","White","*",70.0,70.8,66.7,74.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Grade 12",63.3,80.6,72.7,87.0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Asian","N/A","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Black or African American","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","ELL","N/A","N/A","N/A","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Free Lunch",26.3,19.5,21.6,"*",23.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Hispanic/Latino of any race","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Male",22.9,19.4,17.6,20.0,19.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Non-ELL",25.5,19.1,18.6,16.3,23.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","School",25.5,19.1,18.6,16.3,23.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Special Education",25.5,19.1,18.6,16.3,23.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Two or More Races","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade   9","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 10","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 11","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","White",22.2,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Grade 12",27.3,17.6,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Kindergarten","*","*","*",13.8,12.7
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","American Indian or Alaska Native","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Asian","*","*",25.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Black or African American",6.2,5.8,9.5,7.5,5.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELL","*","*","*","*","*"
