"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Male","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Female","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Male","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Female",4.4
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Male",5.0
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Female",2.7
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Male",3.4
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",15.6
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",13.8
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",2.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",2.5
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Female","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Male","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Female",5.1
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Male",4.5
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Female","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Male","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Female",8.0
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Male",5.4
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Female","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Male","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Female",5.5
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Male",4.2
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",18.9
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",12.5
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",19.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",11.5
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",18.9
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",9.2
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",20.7
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",11.9
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",38.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",27.1
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",20.5
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",18.9
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",24.3
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",16.4
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",14.6
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",10.2
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",16.7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",12.5
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",10.9
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",9.1
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",19.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",10.0
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","Female",17.0
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","Male",7.6
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",5.7
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",3.1
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",17.2
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",13.5
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",17.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",7.7
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",17.7
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",15.2
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",12.2
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",3.6
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",7.9
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",5.8
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Female","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Male","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Female","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Male","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","Female","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","Male","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Female",6.2
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Male",8.3
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Female",60.7
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Male",38.2
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Female",0.0
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Male","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Female",7.8
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Male",4.4
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Female","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Male","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Female",4.1
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Male",5.1
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",9.5
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",10.0
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Female","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Male","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Female",2.8
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Male",3.8
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Female",2.9
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Male",3.1
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Female",3.1
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Male",2.4
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Female",56.4
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Male",66.7
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Female",5.8
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Male",4.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",10.4
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",12.4
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Female",4.5
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Male",3.9
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Female",4.0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Male",6.3
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Female",7.0
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Male",4.2
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Female",5.5
