"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Bridgeport School District","Curiale School","=""0154211""","Grade   3",10.4
"Bridgeport School District","Curiale School","=""0154211""","Grade   4",13.5
"Bridgeport School District","Curiale School","=""0154211""","Grade   5",17.9
"Bridgeport School District","Curiale School","=""0154211""","Grade   6",15.5
"Bridgeport School District","Curiale School","=""0154211""","Grade   7",26.7
"Bridgeport School District","Curiale School","=""0154211""","Grade   8",22.0
"Bridgeport School District","Dunbar School","=""0154111""","Kindergarten",29.7
"Bridgeport School District","Dunbar School","=""0154111""","Grade   1",35.7
"Bridgeport School District","Dunbar School","=""0154111""","Grade   2",16.7
"Bridgeport School District","Dunbar School","=""0154111""","Grade   3",17.9
"Bridgeport School District","Dunbar School","=""0154111""","Grade   4",26.2
"Bridgeport School District","Dunbar School","=""0154111""","Grade   5",23.5
"Bridgeport School District","Dunbar School","=""0154111""","Grade   6",30.0
"Bridgeport School District","Dunbar School","=""0154111""","Grade   7",25.7
"Bridgeport School District","Dunbar School","=""0154111""","Grade   8",34.1
"Bridgeport School District","Edison School","=""0150711""","Kindergarten",21.6
"Bridgeport School District","Edison School","=""0150711""","Grade   1",17.1
"Bridgeport School District","Edison School","=""0150711""","Grade   2","*"
"Bridgeport School District","Edison School","=""0150711""","Grade   3",14.3
"Bridgeport School District","Edison School","=""0150711""","Grade   4",13.5
"Bridgeport School District","Edison School","=""0150711""","Grade   5","*"
"Bridgeport School District","Edison School","=""0150711""","Grade   6","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Kindergarten","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   1","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   2",0.0
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   3","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   4",0.0
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   5","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   6","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   7","*"
"Bridgeport School District","Geraldine Johnson School","=""0153211""","Grade   8",12.3
"Bridgeport School District","Hall School","=""0151111""","Kindergarten","*"
"Bridgeport School District","Hall School","=""0151111""","Grade   1","*"
"Bridgeport School District","Hall School","=""0151111""","Grade   2","*"
"Bridgeport School District","Hall School","=""0151111""","Grade   3",15.0
"Bridgeport School District","Hall School","=""0151111""","Grade   4","*"
"Bridgeport School District","Hall School","=""0151111""","Grade   5","*"
"Bridgeport School District","Hall School","=""0151111""","Grade   6",0.0
"Bridgeport School District","Hallen School","=""0151211""","Kindergarten","*"
"Bridgeport School District","Hallen School","=""0151211""","Grade   1",18.9
"Bridgeport School District","Hallen School","=""0151211""","Grade   2","*"
"Bridgeport School District","Hallen School","=""0151211""","Grade   3","*"
"Bridgeport School District","Hallen School","=""0151211""","Grade   4","*"
"Bridgeport School District","Hallen School","=""0151211""","Grade   5","*"
"Bridgeport School District","Hallen School","=""0151211""","Grade   6","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Kindergarten","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   1",0.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   2","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   3","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   4",0.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   5","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   6","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   7",0.0
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Grade   8","*"
"Bridgeport School District","Hooker School","=""0151311""","Kindergarten","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   1","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   2","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   3",17.9
"Bridgeport School District","Hooker School","=""0151311""","Grade   4","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   5","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   6","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   7","*"
"Bridgeport School District","Hooker School","=""0151311""","Grade   8",28.6
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Kindergarten","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   1","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   2","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   3","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   4","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   5","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   6","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   7","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Grade   8","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Kindergarten",26.2
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   1",38.2
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   2",30.4
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   3",17.5
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   4",23.2
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   5",32.1
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   6",21.7
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   7",19.2
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Grade   8",39.8
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Kindergarten",31.6
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   1",25.3
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   2",26.7
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   3",16.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   4",18.8
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   5",25.0
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   6",23.7
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   7",27.4
"Bridgeport School District","Luis Munoz Marin School","=""0151011""","Grade   8",27.1
"Bridgeport School District","Madison School","=""0152011""","Kindergarten",15.3
"Bridgeport School District","Madison School","=""0152011""","Grade   1",8.3
"Bridgeport School District","Madison School","=""0152011""","Grade   2",12.9
"Bridgeport School District","Madison School","=""0152011""","Grade   3","*"
"Bridgeport School District","Madison School","=""0152011""","Grade   4","*"
"Bridgeport School District","Madison School","=""0152011""","Grade   5",13.5
"Bridgeport School District","Madison School","=""0152011""","Grade   6",10.8
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Kindergarten","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   1",0.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   2",0.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   3",0.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   4",0.0
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   5","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   6","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   7","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Grade   8","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Kindergarten",10.3
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   1","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   2","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   3","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   4","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   5","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   6","*"
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   7",0.0
"Bridgeport School District","Park City Magnet School","=""0151711""","Grade   8","*"
"Bridgeport School District","Read School","=""0152511""","Kindergarten",27.7
"Bridgeport School District","Read School","=""0152511""","Grade   1",10.9
"Bridgeport School District","Read School","=""0152511""","Grade   2",14.0
"Bridgeport School District","Read School","=""0152511""","Grade   3",11.0
"Bridgeport School District","Read School","=""0152511""","Grade   4",8.6
"Bridgeport School District","Read School","=""0152511""","Grade   5",11.8
"Bridgeport School District","Read School","=""0152511""","Grade   6",16.7
"Bridgeport School District","Read School","=""0152511""","Grade   7",19.4
"Bridgeport School District","Read School","=""0152511""","Grade   8",16.7
"Bridgeport School District","Roosevelt School","=""0152611""","Kindergarten",23.9
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   1",19.1
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   2",17.5
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   3",14.6
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   4","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   5",19.0
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   6","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   7",14.3
"Bridgeport School District","Roosevelt School","=""0152611""","Grade   8",16.7
"Bridgeport School District","Waltersville School","=""0153011""","Kindergarten",16.1
"Bridgeport School District","Waltersville School","=""0153011""","Grade   1",21.5
