"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Hispanic/Latino of any race","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","Two or More Races","*"
"Bridgeport School District","High Horizons Magnet School","=""0154511""","White",0.0
"Bridgeport School District","Hooker School","=""0151311""","American Indian or Alaska Native","*"
"Bridgeport School District","Hooker School","=""0151311""","Asian","*"
"Bridgeport School District","Hooker School","=""0151311""","Black or African American",15.2
"Bridgeport School District","Hooker School","=""0151311""","Hispanic/Latino of any race",14.6
"Bridgeport School District","Hooker School","=""0151311""","Two or More Races","*"
"Bridgeport School District","Hooker School","=""0151311""","White",17.0
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","American Indian or Alaska Native","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Asian","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Black or African American","*"
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","Hispanic/Latino of any race",4.8
"Bridgeport School District","Interdistrict Discovery Magnet School","=""0153711""","White","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","American Indian or Alaska Native","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Asian","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Black or African American",29.1
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Hispanic/Latino of any race",38.6
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","Two or More Races","*"
"Bridgeport School District","Jettie S. Tisdale School","=""0152211""","White","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","American Indian or Alaska Native","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Asian","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Black or African American","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Hispanic/Latino of any race","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","Two or More Races","*"
"Bridgeport School District","Multicultural Magnet School","=""0154611""","White",0.0
"Bridgeport School District","Read School","=""0152511""","American Indian or Alaska Native","*"
"Bridgeport School District","Read School","=""0152511""","Asian","*"
"Bridgeport School District","Read School","=""0152511""","Black or African American",14.7
"Bridgeport School District","Read School","=""0152511""","Hispanic/Latino of any race",16.0
"Bridgeport School District","Read School","=""0152511""","Two or More Races","*"
"Bridgeport School District","Read School","=""0152511""","White","*"
"Bridgeport School District","Roosevelt School","=""0152611""","American Indian or Alaska Native","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Asian","*"
"Bridgeport School District","Roosevelt School","=""0152611""","Black or African American",22.4
"Bridgeport School District","Roosevelt School","=""0152611""","Hispanic/Latino of any race",33.8
"Bridgeport School District","Roosevelt School","=""0152611""","Two or More Races","*"
"Bridgeport School District","Roosevelt School","=""0152611""","White",28.6
"Bridgeport School District","Waltersville School","=""0153011""","American Indian or Alaska Native","*"
"Bridgeport School District","Waltersville School","=""0153011""","Asian","*"
"Bridgeport School District","Waltersville School","=""0153011""","Black or African American","*"
"Bridgeport School District","Waltersville School","=""0153011""","Hispanic/Latino of any race",26.6
"Bridgeport School District","Waltersville School","=""0153011""","Two or More Races","*"
"Bridgeport School District","Waltersville School","=""0153011""","White","*"
"Bridgeport School District","Winthrop School","=""0153611""","American Indian or Alaska Native","*"
"Bridgeport School District","Winthrop School","=""0153611""","Asian",0.0
"Bridgeport School District","Winthrop School","=""0153611""","Black or African American","*"
"Bridgeport School District","Winthrop School","=""0153611""","Hispanic/Latino of any race",10.1
"Bridgeport School District","Winthrop School","=""0153611""","Two or More Races","*"
"Bridgeport School District","Winthrop School","=""0153611""","White",6.5
"Bridgeport School District","Barnum School","=""0150111""","Asian","*"
"Bridgeport School District","Barnum School","=""0150111""","Black or African American",24.3
"Bridgeport School District","Barnum School","=""0150111""","Hispanic/Latino of any race",27.0
"Bridgeport School District","Barnum School","=""0150111""","Two or More Races","*"
"Bridgeport School District","Barnum School","=""0150111""","White","*"
"Bridgeport School District","Bassick High School","=""0156111""","Asian",40.5
"Bridgeport School District","Bassick High School","=""0156111""","Black or African American",38.2
"Bridgeport School District","Bassick High School","=""0156111""","Hispanic/Latino of any race",44.7
"Bridgeport School District","Bassick High School","=""0156111""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Bassick High School","=""0156111""","Two or More Races","*"
"Bridgeport School District","Bassick High School","=""0156111""","White",45.5
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Asian","*"
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Black or African American",9.9
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Hispanic/Latino of any race",13.7
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Two or More Races","*"
"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","White",12.8
"Bridgeport School District","Black Rock School","=""0150311""","Asian","*"
"Bridgeport School District","Black Rock School","=""0150311""","Black or African American",17.1
"Bridgeport School District","Black Rock School","=""0150311""","Hispanic/Latino of any race",13.7
"Bridgeport School District","Black Rock School","=""0150311""","Two or More Races","*"
"Bridgeport School District","Black Rock School","=""0150311""","White","*"
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Asian","*"
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Black or African American",0.0
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","Hispanic/Latino of any race",0.0
"Bridgeport School District","Bridgeport Military Academy","=""0151611""","White","*"
"Bridgeport School District","Edison School","=""0150711""","Asian","*"
"Bridgeport School District","Edison School","=""0150711""","Black or African American",12.4
"Bridgeport School District","Edison School","=""0150711""","Hispanic/Latino of any race",17.0
"Bridgeport School District","Edison School","=""0150711""","Two or More Races","*"
"Bridgeport School District","Edison School","=""0150711""","White","*"
"Bridgeport School District","Hallen School","=""0151211""","Asian","*"
"Bridgeport School District","Hallen School","=""0151211""","Black or African American",12.2
"Bridgeport School District","Hallen School","=""0151211""","Hispanic/Latino of any race","*"
"Bridgeport School District","Hallen School","=""0151211""","Native Hawaiian or Other Pacific Islander","*"
"Bridgeport School District","Hallen School","=""0151211""","Two or More Races","*"
"Bridgeport School District","Hallen School","=""0151211""","White","*"
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Asian","*"
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Black or African American",0.0
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Hispanic/Latino of any race",0.0
"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Native Hawaiian or Other Pacific Islander","*"
