"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Grade 11",48.7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Grade 12",64.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Kindergarten",24.2
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   1",21.4
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   2",19.0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   3",9.8
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   4",11.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   5",7.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   6",16.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   7",23.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Grade   8",25.2
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Kindergarten",20.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   1",17.5
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   2","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   3","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   4","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   5","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Grade   6","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Kindergarten",40.0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   1",29.5
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   2",43.3
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   3",19.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   4",35.6
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   5",17.6
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   6",30.9
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   7",39.3
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Grade   8",38.9
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Kindergarten",25.5
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   1",26.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   2",22.2
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   3",19.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   4",17.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   5",31.7
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   6",30.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   7",23.5
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Grade   8",44.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Kindergarten",25.6
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   1",36.6
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   2",15.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   3",25.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   4",18.8
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   5",16.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   6",24.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   7",35.4
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Grade   8",38.9
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Kindergarten",32.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   1",19.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   2",20.0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   3",27.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   4","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   5","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   6",28.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   7",33.3
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Grade   8",36.4
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Kindergarten",13.0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   1",30.0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   2",17.9
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   3","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   4",21.2
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   5","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Grade   6","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Kindergarten",15.5
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   1",10.5
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   2",13.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   3","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   4","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   5",6.5
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   6",6.9
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   7",13.3
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Grade   8",12.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Kindergarten",19.5
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   1",29.2
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   2",22.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   3","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   4",16.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   5","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Grade   6",23.5
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Kindergarten",14.6
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   1",19.4
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   2","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   3",0.0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   4","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   5","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Grade   6",17.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Grade   9",51.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Grade 10",52.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Grade 11",47.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Grade 12",40.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Kindergarten","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   1",0.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   2","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   3",14.9
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   4","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   5","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   6","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   7",0.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Grade   8","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Kindergarten",25.5
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   1",13.3
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   2","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   3",17.5
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   4","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   5",18.4
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   6","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   7",17.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Grade   8",13.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Kindergarten","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   1","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   2","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   3","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   4","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   5","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   6","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Grade   7","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Kindergarten",40.7
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   1",21.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   2",19.4
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   3",30.3
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   4",23.7
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   5",21.7
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Grade   6",34.0
