"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-Special Education",12.6
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Special Education",17.1
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-Special Education",11.6
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Special Education",11.8
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Special Education","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-Special Education","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Special Education","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Special Education",13.2
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","Special Education","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","Special Education","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Non-Special Education","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Special Education","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Special Education",39.8
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Non-Special Education","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Special Education","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Non-Special Education","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Special Education","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Non-Special Education","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Special Education","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-Special Education",7.2
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Special Education",27.2
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Non-Special Education","*"
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Special Education","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Non-Special Education",7.4
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Special Education",12.2
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Non-Special Education","*"
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Special Education","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Non-Special Education","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Special Education","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Non-Special Education",3.9
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Special Education",15.2
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Non-Special Education","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Special Education","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Non-Special Education",9.2
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Special Education",17.3
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Non-Special Education",24.2
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Special Education",35.1
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Non-Special Education","*"
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Special Education","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Non-Special Education",3.7
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Special Education",14.3
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Non-Special Education","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Special Education","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Non-Special Education","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Special Education","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Non-Special Education",5.2
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Special Education",0.0
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Non-Special Education","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Special Education","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Non-Special Education","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Special Education","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Non-Special Education",6.9
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Special Education",18.4
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Non-Special Education",4.0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Special Education",16.7
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Non-Special Education",10.0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Special Education",19.7
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Non-Special Education","*"
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Special Education","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Non-Special Education","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Special Education","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Non-Special Education","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Special Education","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Non-Special Education","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Special Education","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Non-Special Education",6.1
"Darien School District","=""0350011""","Darien High School","=""0356111""","Special Education",8.2
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Non-Special Education","*"
